313,BANKINDIA,INE084A01016,107,20
314,ZYDUSLIFE,INE010B01027,964.35,20
315,GABRIEL,INE524A01029,434.8,20
316,CANBK,INE476A01022,100.98,20
317,KARURVYSYA,INE036D01028,222.45,20
318,ADANIENT,INE423A01024,2257.5,22.69
319,GODFRYPHLP,INE260B01028,5758.9,23.12
320,SOBHA,INE671H01015,1605.8,20
321,PGHL,INE199A01012,5139.75,20
322,CDSL,INE736A01011,1554.55,20
323,MUTHOOTFIN,INE414G01012,1932.3,20
324,MAHLIFE,INE813A01018,483.75,20
325,JKTYRE,INE573A01042,364.9,20
326,UBL,INE686F01025,1897.15,20
327,TIPSMUSIC,INE716B01029,874.05,20
328,WESTLIFE,INE274F01020,717.35,20
329,COFORGE,INE591G01017,8611.6,20
330,AAVAS,INE216P01012,1653,20
331,ENGINERSIN,INE510A01028,183.06,21.06
332,KELLTONTEC,INE164B01022,141.8,22.41
333,AFFLE,INE00WC01027,1580.75,20
334,VAIBHAVGBL,INE884A01027,277,20
335,WSTCSTPAPR,INE976A01021,559.95,20
336,KPRMILL,INE930H01031,940.45,20
337,LIQUIDSHRI,INF680P01422,1024.37,5
338,CYIENTDLM,INE055S01018,632.05,20
339,MHRIL,INE998I01010,348.4,20
340,ONGC,INE213A01029,257.9,13.88
341,GODREJCP,INE102D01028,1218.7,20
342,ANGELONE,INE732I01013,2799.05,21.43
343,MOGSEC,INF247L01AK4,57.93,80
344,HEROMOTOCO,INE158A01026,4858.3,10.17
345,IONEXCHANG,INE570A01022,628.4,20
346,GODREJPROP,INE484J01027,2943.05,20
347,RBA,INE07T201019,81.26,20
348,EVEREADY,INE128A01029,379.75,20
349,IGL,INE203G01027,324.15,20
350,GICRE,INE481Y01014,394.35,20
351,APOLLOHOSP,INE437A01024,7075,9.36
352,KEC,INE389H01022,1039.8,20
353,SAIL,INE114A01011,114.09,20
354,SPIC,INE147A01011,73.45,20
355,MASFIN,INE348L01012,278.1,20
356,LICHSGFIN,INE115A01026,627.5,20
357,INDIGO,INE646L01027,4244.5,20
358,TATASTEEL,INE081A01020,143.67,11.67
359,SGBMAY29I,IN0020210053,8043.16,10
360,IDBI,INE008A01015,81.3,20
361,SGBJAN26,IN0020170166,7886.78,10
362,ZENSARTECH,INE520A01027,727.3,20
363,FIEMIND,INE737H01014,1497.7,20
364,MEDPLUS,INE804L01022,746.85,20
365,CARYSIL,INE482D01024,752.7,20
366,YATHARTH,INE0JO301016,606.75,20
367,SHK,INE500L01026,274.5,20.1
368,NUVOCO,INE118D01016,345.85,20
369,CUB,INE491A01021,173.8,20
370,FIVESTAR,INE128S01021,649.15,20
371,UTKARSHBNK,INE735W01017,36.25,20
372,RVNL,INE415G01027,438.1,24.9
373,SATIN,INE836B01017,151.89,20
374,BAJAJFINSV,INE918I01026,1604.9,9.46
375,NEULANDLAB,INE794A01010,14853.95,24.11
376,BEML,INE258A01016,3940.65,22.06
377,GPPL,INE517F01014,179.51,20
378,SUNDARMFIN,INE660A01013,4289.95,20
379,EBBETF0425,INF754K01LD3,1255.55,20
380,RBLBANK,INE976G01028,158.31,20
381,OLECTRA,INE260D01016,1491.95,20
382,HONASA,INE0J5401028,226.85,20.77
383,MINDACORP,INE842C01021,487.1,20
384,VINATIORGA,INE410B01037,1873.7,20
385,RELIANCE,INE002A01018,1287,9
386,IMAGICAA,INE172N01012,71.96,21.03
387,ANURAS,INE930P01018,728.65,20
388,AHLUCONT,INE758C01029,956.9,20
389,SIGNATURE,INE903U01023,1327.45,20
390,DEEPAKFERT,INE501A01019,1294.9,20
391,HAPPSTMNDS,INE419U01012,723.15,20
392,UNIPARTS,INE244O01017,414.2,20
393,SFL,INE916U01025,802.25,20
394,WELSPUNLIV,INE192B01031,150.68,20
395,SUVENPHAR,INE03QK01018,1293.9,20
396,KOTAKBANK,INE237A01028,1790.75,9
397,INFY,INE009A01021,1889.7,9.23
398,UNIECOM,INE00U401027,173.18,20
399,LIQUID,INF769K01KS1,999.99,5
400,WCIL,INE0CJF01024,119.37,20
401,SHAREINDIA,INE932X01026,282.9,20
402,VARROC,INE665L01035,512.5,20
403,KANSAINER,INE531A01024,264.95,20
404,SBIN,INE062A01020,844.45,11.3
405,ENTERO,INE010601016,1320.8,20
406,DELTACORP,INE124G01033,112.4,20
407,LINDEINDIA,INE473A01011,6581.25,20
408,CAMLINFINE,INE052I01032,116.35,20
409,PRESTIGE,INE811K01011,1729.95,20
410,GRASIM,INE047A01021,2629.8,9.11
411,NHPC,INE848E01016,82.43,20
412,SHILPAMED,INE790G01031,897.2,20
413,TECHM,INE669C01036,1732.6,10.24
414,SGBDEC2513,IN0020170158,8000,10
415,REDINGTON,INE891D01026,191.23,20
416,ALKEM,INE540L01014,5478.3,20
